Fresno stat,Fresno nonstat,Los Angeles stat,Los Angeles nonstat,Sacramento stat,Sacramento nonstat,San Diego stat,San Diego nonstat,San Jose stat,San Jose nonstat,San Francisco stat,San Francisco nonstat
53.5639327,57.86010321,133.6459591,139.7501465,87.31154376,87.89820363,74.0821381,75.50105848,59.55315429,62.04511333,86.86428084,87.77893315
53.61530829,57.91815787,133.7977936,139.9091281,87.40009057,87.98914358,74.16296003,75.58284875,59.61090968,62.10643826,86.9485485,87.86369175
53.66628116,57.97575754,133.9484289,140.0668561,87.48794056,88.07936758,74.24314912,75.66399727,59.66820721,62.16727582,87.03215466,87.94778375
53.71685758,58.0329093,134.0978838,140.22335,87.57510462,88.16888682,74.32271522,75.74451407,59.72505404,62.22763367,87.11510966,88.03121956
53.76704369,58.08962009,134.2461765,140.3786289,87.66159338,88.25771223,74.40166797,75.82440891,59.78145719,62.28751927,87.19742356,88.11400936
53.81684547,58.14589668,134.393325,140.5327115,87.74741722,88.34585448,74.48001678,75.90369136,59.83742352,62.34693993,87.27910622,88.19616306
53.86626878,58.20174567,134.5393467,140.6856163,87.8325863,88.433324,74.55777084,75.98237074,59.8929597,62.40590278,87.36016726,88.27769039
53.91531935,58.25717353,134.6842589,140.8373609,87.91711053,88.52013099,74.63493914,76.06045618,59.94807229,62.46441478,87.44061609,88.35860082
53.96400276,58.31218659,134.8280781,140.9879629,88.00099961,88.6062854,74.71153047,76.13795659,60.00276767,62.52248275,87.52046189,88.43890363
54.01232449,58.36679101,134.9708207,141.1374393,88.08426301,88.69179698,74.78755341,76.21488068,60.0570521,62.58011334,87.59971365,88.51860787
54.06028987,58.42099284,135.1125028,141.2858068,88.16691001,88.77667524,74.86301636,76.29123699,60.11093167,62.63731307,87.67838017,88.59772242
54.10790415,58.47479798,135.2531398,141.4330817,88.24894965,88.86092951,74.93792753,76.36703384,60.16441237,62.6940883,87.75647003,88.67625594
54.15517243,58.52821222,135.3927472,141.5792801,88.33039082,88.94456888,75.01229495,76.4422794,60.21750004,62.75044526,87.83399164,88.7542169
54.20209971,58.5812412,135.5313398,141.7244174,88.41124217,89.02760228,75.0861265,76.51698163,60.2702004,62.80639003,87.91095323,88.8316136
54.2486909,58.63389046,135.6689322,141.868509,88.4915122,89.11003841,75.15942984,76.59114834,60.32251902,62.86192859,87.98736283,88.90845416
54.29495078,58.6861654,135.8055389,142.0115699,88.5712092,89.19188582,75.23221251,76.66478716,60.3744614,62.91706674,88.06322833,88.98474651
54.34088405,58.73807133,135.9411737,142.1536147,88.65034131,89.27315285,75.30448187,76.73790558,60.42603288,62.97181021,88.13855742,89.06049843
54.38649529,58.78961342,136.0758504,142.2946576,88.72891647,89.35384768,75.37624514,76.81051091,60.4772387,63.02616457,88.21335766,89.13571752
54.43178899,58.84079677,136.2095824,142.4347128,88.80694247,89.4339783,75.44750937,76.88261031,60.528084,63.0801353,88.28763643,89.21041123
54.47676956,58.89162633,136.3423829,142.5737939,88.88442695,89.51355255,75.51828147,76.95421079,60.5785738,63.13372775,88.36140096,89.28458685
54.52144131,58.94210698,136.4742647,142.7119144,88.96137736,89.59257811,75.58856822,77.02531923,60.62871302,63.18694715,88.43465833,89.35825154
54.56580845,58.99224348,136.6052404,142.8490874,89.03780101,89.6710625,75.65837624,77.09594235,60.67850648,63.23979865,88.50741548,89.43141227
54.60987513,59.04204051,136.7353224,142.9853259,89.11370509,89.74901307,75.72771202,77.16608676,60.7279589,63.29228727,88.5796792,89.5040759
54.65364539,59.09150264,136.8645227,143.1206426,89.1890966,89.82643704,75.79658194,77.23575889,60.77707491,63.34441794,88.65145616,89.57624916
54.69712321,59.14063436,136.9928533,143.2550496,89.26398242,89.90334148,75.86499223,77.30496509,60.82585903,63.39619548,88.72275287,89.64793861
54.74031247,59.18944007,137.1203257,143.3885594,89.33836929,89.9797333,75.932949,77.37371155,60.87431571,63.44762463,88.79357573,89.7191507
54.78321699,59.23792407,137.2469513,143.5211836,89.41226382,90.05561932,76.00045823,77.44200435,60.92244929,63.49871002,88.86393101,89.78989175
54.82584051,59.28609058,137.3727413,143.652934,89.48567249,90.13100616,76.06752581,77.50984945,60.97026405,63.54945619,88.93382485,89.86016796
54.86818668,59.33394375,137.4977067,143.783822,89.55860165,90.20590037,76.13415749,77.5772527,61.01776416,63.59986761,89.00326327,89.9299854
